timestamp,fan,ac,light,fridge,washing_machine,total_wh
2024-01-01 00:00:00,81.66,0.0,52.23,150.69,0.0,284.58
2024-01-01 01:00:00,84.05,0.0,54.64,156.32,0.0,295.01
2024-01-01 02:00:00,227.13,0.0,70.48,167.83,0.0,465.44
2024-01-01 03:00:00,86.98,0.0,196.41,127.49,0.0,410.88
2024-01-01 04:00:00,93.3,0.0,54.23,166.5,0.0,314.03
2024-01-01 05:00:00,84.48,0.0,60.91,157.1,0.0,302.49
2024-01-01 06:00:00,74.75,0.0,0.0,137.43,0.0,212.18
2024-01-01 07:00:00,76.26,0.0,0.0,148.26,0.0,224.52
2024-01-01 08:00:00,64.12,0.0,0.0,162.84,445.47,672.43
2024-01-01 09:00:00,84.28,0.0,0.0,162.95,556.83,804.06
2024-01-01 10:00:00,69.65,1797.2,0.0,139.29,565.11,2571.25
2024-01-01 11:00:00,84.68,1523.68,0.0,135.35,572.77,2316.48
2024-01-01 12:00:00,57.78,1684.57,0.0,131.36,0.0,1873.71
2024-01-01 13:00:00,65.6,1441.26,0.0,145.27,0.0,1652.13
2024-01-01 14:00:00,90.67,1426.27,0.0,144.57,0.0,1661.51
2024-01-01 15:00:00,70.35,1605.09,0.0,148.29,0.0,1823.73
2024-01-01 16:00:00,89.08,836.54,0.0,132.1,0.0,1057.72
2024-01-01 17:00:00,66.35,1466.55,0.0,110.72,0.0,1643.62
2024-01-01 18:00:00,74.66,1482.82,62.48,162.61,0.0,1782.57
2024-01-01 19:00:00,54.13,1836.56,60.04,136.09,0.0,2086.82
2024-01-01 20:00:00,59.03,1435.25,53.86,128.74,0.0,1676.88
2024-01-01 21:00:00,72.67,1825.5,64.9,165.03,0.0,2128.1
2024-01-01 22:00:00,63.06,1336.02,59.93,125.51,0.0,1584.52
2024-01-01 23:00:00,73.85,0.0,66.15,148.73,0.0,288.73
2024-01-02 00:00:00,82.77,0.0,67.24,156.53,0.0,306.54
2024-01-02 01:00:00,74.97,0.0,58.24,144.07,0.0,277.28
2024-01-02 02:00:00,74.66,0.0,57.46,113.13,0.0,245.25
2024-01-02 03:00:00,82.79,0.0,62.73,143.93,0.0,289.45
2024-01-02 04:00:00,80.16,0.0,72.0,145.06,0.0,297.22
